,20hc#,20hc%,20eft#,20eft%,20tft#,20tft%,21hc#,21hc%,21eft#,21eft%,21tft#,21tft%
Allegany,2400,-1.30%,437.2,-7.30%,726.4,-3.80%,2328,-3.00%,375.4,-14.10%,667.9,-8.10%
Anne Arundel,11948,-5.60%,3144.8,-6.10%,3235.2,-5.90%,10630,-11.00%,0,0,2809.8,-13.10%
Baltimore City,4174,-8.70%,1043,-16.90%,1155.5,-16.80%,,,,,,
Baltimore County,17598,-1.70%,0,0,4855.6,-0.80%,16215,-7.90%,0,0,4344,-10.50%
Carroll,3060,-2.10%,0,0,864.8,-1.50%,2770,-9.50%,0,0,774.3,-10.50%
Cecil,2070,-12.10%,514.5,-12.00%,582,-13.00%,1807,-13.70%,447,-13.50%,518,-11.40%
Chesapeake,1904,-12.80%,N/A,N/A,513.9,-9.30%,1738,-8.70%,0,0,457.1,-11.10%
Frederick,5756,-6.10%,1501.1,-6.80%,1553.6,-7.50%,5389,-0.00064,0,0,1433.8,-0.00077
Garrett,629,-4.10%,169.8,-12.40%,211.2,-12.60%,582,-7.30%,,,190.3,-9.90%
Hagerstown,3375,-13.80%,816.7,-11.50%,1015.1,-9.40%,3382,0.20%,788,-3.50%,987,-2.80%
Harford,5263,-8.10%,0,0,1496.2,-7.60%,4609,-12.40%,0,0,1336,-10.70%
Howard,9632,3.10%,2548,-1.90%,2644.9,-2.30%,8124,-15.70%,2220.4,-12.90%,2307,-12.80%
Montgomery,20037,-5.80%,N/A,0,5971.6,-6.50%,17284,-13.70%,0,0,5099.4,-14.60%
Prince George's,11376,-4.30%,3026.1,-5.00%,3181.7,-4.50%,10607,-6.80%,2760.2,-8.80%,2935.8,-7.70%
Southern MD,6078,-4.30%,0,0,1786,-2.80%,5500,-10.90%,0,0,1599.7,-8.50%
Wor-Wic,2702,-6.60%,708.2,-7.20%,742.8,-6.00%,2495,-2.50%,622.8,-10.00%,660,-8.90%
