Institution,FY 17,FY 18,FY 19,FY 20,FY 21,5yr AVG,1yr Change,5yr Change
Allegany College of Maryland,284,287,310,339,349,313.8,2.9,23
Anne Arundel Community College,393,401,408,422,435,411.8,3.2,10.8
Baltimore City Community College,309,303,303,310,316,308.2,1.9,2.4
Carroll Community College,255,264,348,348,350,313.0,0.4,37.1
Cecil College,303,305,307,316,317,309.6,0.3,4.7
Chesapeake College,338,344,305,308,308,320.6,0.1,-8.9
College of Southern Maryland,387,397,358,368,368,375.6,0.1,-4.8
Community College of Baltimore County,325,330,391,401,417,372.8,3.9,28.4
Frederick Community College,374,381,388,398,407,389.6,2.4,8.9
Garrett College,297,306,329,354,378,332.8,6.8,27.3
Hagerstown Community College,255,260,265,275,268,264.6,-2.4,5.1
Harford Community College,313,329,336,346,346,334.0,0,10.5
Howard Community College,284,290,302,310,320,301.2,3.1,12.5
Montgomery College,430,437,453,468,468,451.2,0,8.9
Prince George's Community College,337,354,354,354,351,350.0,-0.8,4.3
Wor-Wic Community College,309,314,321,321,333,319.6,3.7,7.8
